SNR;Real;Imaginario;Map
-10;-0.32173395473000577;2.2568813086634103;13
-10;-3.7210912987469933;1.5768406052778219;1
-10;-1.257743217855691;-0.21015216149458726;1
-10;-6.917533526662472;4.011252587097466;3
-10;0.8423949000181412;4.0235042753825585;14
-10;-0.24938434794085995;-5.103436233142823;7
-10;-0.8301652026195535;-3.3187475929161;4
-10;1.7812985154574361;4.399103556493683;11
-10;1.0527556058620464;2.1853792471107947;15
-10;-2.071334314474671;-3.0267967215041045;0
-10;2.612406998062441;-1.1180820797642803;7
-10;3.1540207314196085;-11.292485181793433;0
-10;6.76763615953246;-5.0191730988076895;9
-10;5.948845632885157;5.796302984709947;14
-10;7.065310181977307;2.817952591979619;13
-10;-4.68706719947841;2.1946467275108845;3
-10;5.020276499736626;-3.8739257677971435;4
-10;-0.842471469492525;-4.59213133894078;8
-10;-1.6725905686673224;3.9331289165457486;6
-10;0.7081233883756759;5.436021947369852;13
-10;-4.505973591507711;-0.7673087364644484;4
-10;-9.543219203318499;1.512579986867184;14
-10;5.655984824882554;-2.8529389166333363;4
-10;3.150796179244436;6.226600923771935;10
-10;-2.838223509396508;-3.670796925593974;12
-10;-4.2013342930744475;1.7935868877517955;7
-10;4.822113895668484;-2.905901244683085;0
-10;-0.4414736750357695;1.9932612609962301;14
-10;-2.0508020080627323;4.1505255403230725;3
-10;0.6557839176986104;4.31142022091281;13
-10;-2.947413881727523;7.919065654573876;6
-10;-2.5868596167353424;0.6150151733471119;5
-10;3.0164642188757202;-6.970271288192072;5
-10;-7.614705183134716;-3.6601928722058066;3
-10;0.9569406157221915;-4.325389358641386;12
-10;-6.503747976741921;-0.04962468698018707;4
-10;-0.2159034440731109;-0.025158322532411015;13
-10;3.2397848636172357;5.825705380662522;3
-10;1.1880264485918717;-4.622354933675778;12
-10;5.448593758053877;6.659124955543991;10
-10;-1.243544941369632;4.2190741373843785;3
-10;7.975127721834197;-7.716775171628027;8
-10;1.0945878963184916;5.899400453352522;6
-10;4.148338658876999;3.1395660466277717;14
-10;-4.214274302455694;-2.628202132639201;0
-10;4.6519091817517015;0.6124310310106331;14
-10;-2.3635893469085203;10.168221737336978;14
-10;2.232852053493443;1.260819455189301;12
-10;0.5479766433594297;-2.4531389178010072;5
-10;0.5220535363297076;8.542015766023273;6
-10;1.1196334928239093;2.3806792252410514;14
-10;0.9460454444230887;-6.002991744659662;15
-10;0.3015136112700407;2.827116303070223;9
-10;-3.6900562724567663;-2.873582850346736;5
-10;6.701130222780774;3.905498680562511;10
-10;5.653001463758425;-3.879914790145233;11
-10;-0.2886873927626308;7.297529941409452;6
-10;8.711538416062709;1.901682159139454;15
-10;0.515741652118896;0.9720667681445034;0
-10;-0.1772316349407792;-1.1523258269112917;4
-10;4.1670759791020755;4.267409353732939;7
-10;1.7141711639990351;1.8008260003528243;5
-10;1.0273623035742565;3.456363804594627;6
-10;-3.3966651591622385;-1.7977128568384404;12
-10;2.06488511051345;-0.652016927159004;11
-10;4.56781001174687;2.446131228509598;10
-10;2.234632669222852;2.3102968753284956;6
-10;1.2518246005870857;-2.7348418417678984;11
-10;6.627806070816504;-6.549734836856928;12
-10;2.0301614590872106;5.0993625484954865;0
